model,n_points,MAE,RMSE,MASE,Bias,best_benchmark,pct_improvement_vs_best_benchmark
feature_model,336,32.7035150338733,54.769875224146254,0.6121528064560873,3.9031270382896293,mean,26.88
sarimax,336,36.10271344457878,64.2319081565553,0.675779876655091,-4.663265679306526,mean,14.25
foundation_model,336,40.28373768972972,79.42096119218216,0.7540413639257748,-34.16307272986761,mean,-6.03
seasonal_naive_weekly,336,42.63392857142857,79.29026483676037,0.7980328413693866,-10.818452380952381,mean,-5.85
mean,336,50.319095845289134,74.9057320022781,0.9418857791929033,-3.1088025652599205,mean,0.0
seasonal_naive_daily,336,86.95932539682539,129.2320303126518,1.6277270205988035,64.01289682539681,mean,-72.53
naive,336,250.6398809523809,258.81973857632954,4.691541761670009,247.7628968253968,mean,-245.53
drift,336,266.37295305016687,274.6111124071479,4.986037452083107,264.5006776132961,mean,-266.61
